combination,feedback
ㅆ_ㅅ,"'ㅅ'은 부드럽게 공기를 내보내고, 'ㅆ'은 강하게 발음해요. 'ㅅ'을 천천히 부드럽게 발음해 보세요!"
ㅈ_ㅊ,"'ㅊ'은 'ㅈ'보다 공기를 더 세게 내보내세요. 혀를 입천장에 붙였다가 떼면서 발음해 보세요!"
ㅈ_ㅉ,"'ㅉ'을 발음할 때 'ㅈ'보다 혀를 더 세게 붙이고 공기를 강하게 내보내 보세요!"
ㅊ_ㅈ,"'ㅈ'을 발음할 때는 'ㅊ'보다 부드럽게 혀끝을 윗니 뒤에 가볍게 대고 공기를 살짝 내보내 보세요!"
ㅊ_ㅉ,"'ㅉ'을 정확하게 발음하려면 'ㅊ'보다 혀를 더 세게 붙였다 떼어 보세요!"
ㅉ_ㅈ,"'ㅈ'을 발음할 때는 혀를 가볍게 붙였다 떼면서 부드럽게 소리를 내보세요."
ㅉ_ㅊ,"'ㅉ' 대신 'ㅊ'을 발음하려면 혀끝을 입천장에 붙였다 떼면서 공기를 세게 내보내 보세요!"
ㄴ_ㄹ,"'ㄹ'을 발음할 때는 혀끝을 'ㄴ'과 다르게 윗니 뒤쪽에 가볍게 붙였다 떼어보세요!"
ㄹ_ㄴ,"'ㄴ'은 혀끝을 윗니 뒤쪽 잇몸에 살짝 붙이고 코로 부드럽게 공기를 내보내세요. 연습해 보세요!"
ㅁ_ㄴ,"입술 대신 혀를 사용해 'ㄴ'을 발음해 보세요!"
ㅁ_ㅇ,"'ㅁ'은 입술을 사용하지만, 'ㅇ'은 목구멍을 사용해요. 목구멍을 가볍게 막고 부드럽게 발음해 보세요!"
ㄴ_ㅁ,"'ㄴ'은 혀를 사용하지만, 'ㅁ'은 입술을 사용해요. 입술을 꼭 붙이고 'ㅁ'을 다시 발음해 보세요!"
ㄴ_ㅇ,"'ㅇ'을 발음할 때는 혀를 윗니 뒤에 붙이지 말고, 목을 가볍게 막고 발음해 보세요!"
ㅇ_ㅁ,"'ㅁ'을 발음할 때는 입술을 꼭 붙였다가 떼면서 해보세요!"
ㅇ_ㄴ,"'ㄴ'은 혀끝을 윗니 뒤에 살짝 붙이고 발음해 보세요!"
ㅅ_ㅈ,"'ㅈ'을 발음할 때, 혀를 윗니 뒤에 가볍게 붙였다가 떼어 보세요!"
ㅈ_ㅅ,"'ㅈ'과 달리 'ㅅ'은 혀끝을 윗니에 가까이 대고 부드럽게 공기를 내보내 보세요!"
ㅎ_ㅋ,"'ㅎ'과 달리 'ㅋ'을 발음하려면 혀 뒤쪽을 목구멍에 붙였다 떼면서 소리를 내보세요!"
ㅎ_ㅌ,"'ㅎ' 대신 'ㅌ'을 발음할 때는 혀끝을 윗니 뒤에 단단히 붙였다가 세게 떼어보세요!"
ㅎ_ㅍ,"'ㅎ' 소리는 목에서 내고, 'ㅍ' 소리는 입술을 사용해요. 입술을 더 움직여보세요!"
ㅋ_ㅎ,"혀를 목에 대지 말고, 목에서 공기를 세게 내보내 보세요!"
ㅌ_ㅎ,"'ㅎ'은 목구멍에서 공기를 강하게 내뱉어요. 다시 한번 시도해 보세요!"
ㅍ_ㅎ,"'ㅎ'은 입술을 사용하지 않고 목구멍에서 공기를 내보내요. 목에서 발음해 보세요!"
